service_ticket_id,ticket_number,truck_id,trip_id,fault_code_spn,fault_code_fmi,fault_description,severity,status,reported_at,resolved_at,latitude,longitude,repair_notes,cost_usd
4c3d7c47-62c6-4fda-9072-750d4003e362,SVC-40001,d6531bc4-18c1-4fa1-9cc0-b9af340f2e4e,52eef99d-2651-4fb4-a54e-74d494a58a26,91,3,Throttle Position - Voltage Above Normal,warning,in_progress,2026-01-23T06:00:00Z,,43.0745,-105.1217,,
ee639f74-e50b-4537-897a-d47ba7867172,SVC-40002,5f197828-5079-4078-96fe-7b353f1a439f,8ed4f91f-4bba-4009-884f-31086f5dba61,91,3,Throttle Position - Voltage Above Normal,warning,closed,2026-01-21T00:00:00Z,2026-01-21T19:00:00Z,33.8678,-120.775,Replaced faulty sensor. Road test passed.,6507.5
9198e90d-362b-450d-80c0-b33e4666a112,SVC-40003,7149287a-e166-429a-94b2-8128e5ea5066,eb859f1f-8da4-4c30-b046-c348be6b235c,171,0,Ambient Air Temperature - Above Normal Operating Range,info,closed,2026-02-11T05:00:00Z,2026-02-11T22:00:00Z,46.9929,-76.2229,Component replaced under warranty.,4362.78
4c9f0555-6c62-4331-89d3-758faa40222f,SVC-40004,6cb71107-5578-4cfa-87c7-1cfd467fa466,3b9c6f4a-4ead-4ce6-a51a-e1d7c6829422,157,0,Fuel Rail Pressure - Above Normal Operating Range,critical,closed,2026-01-29T22:00:00Z,2026-01-30T11:00:00Z,39.3625,-75.8148,Temporary repair performed. Truck routed to nearest terminal.,2045.1
7de47ded-0a25-4a1c-aff4-7fd213b4e858,SVC-40005,de1c7432-0aad-47db-a9a4-57391fffc17e,28941ae3-0a27-4d84-940d-39faa9a756b9,171,0,Ambient Air Temperature - Above Normal Operating Range,info,closed,2026-01-22T06:00:00Z,2026-01-23T20:00:00Z,29.5077,-89.0736,Temporary repair performed. Truck routed to nearest terminal.,6726.24
91bdae6d-4644-464e-9768-071db9bca3b3,SVC-40006,e56f4985-90f3-4999-bf5b-7158a39007f5,238f5fbb-28b1-4985-91ce-8f3376dc2755,111,0,Coolant Level - Above Normal Operating Range (Low Level),critical,closed,2026-02-05T13:00:00Z,2026-02-05T16:00:00Z,37.8279,-117.7579,Major repair required. Truck towed to terminal.,3928.31
7b569a35-25d7-4873-9f93-15fa8cb692e4,SVC-40007,569e5757-89f2-4e55-a4c4-f9bc4fce3bb2,820662f0-3617-4925-90ec-aab5598effc2,111,0,Coolant Level - Above Normal Operating Range (Low Level),critical,closed,2026-02-01T16:00:00Z,2026-02-02T03:00:00Z,35.1337,-113.6594,Major repair required. Truck towed to terminal.,5696.63
77415283-3e1c-428f-9936-08e6871942e5,SVC-40008,9b21ce71-dc8e-479e-be0e-03bc3d7f5b6e,,168,1,Battery Voltage - Below Normal Operating Range,warning,open,2026-01-30T13:00:00Z,,44.4921,-76.8537,,
47dcf9d3-b44f-4afc-853e-564e1576b460,SVC-40009,569e5757-89f2-4e55-a4c4-f9bc4fce3bb2,820662f0-3617-4925-90ec-aab5598effc2,94,1,Fuel Delivery Pressure - Below Normal Operating Range,warning,dispatched,2026-01-27T20:00:00Z,,31.4561,-114.5973,,
ea2d89a6-e682-416c-96af-32f442706bbd,SVC-40010,d148c596-6441-47d8-9160-9e7c5c9f6749,,157,0,Fuel Rail Pressure - Above Normal Operating Range,critical,closed,2026-01-30T08:00:00Z,2026-02-01T06:00:00Z,40.9796,-83.7207,Component replaced under warranty.,1193.32
